Width: 6
Height: 10
Cells:
Cell[R1C1]: Value = 2, Type = INT, LastModified = 2024-06-03 05:00:18
Cell[R1C2]: Value = empty, Type = NONE, LastModified = 2024-06-03 04:59:55
Cell[R1C3]: Value = empty, Type = NONE, LastModified = 2024-06-03 04:59:55
Cell[R1C4]: Value = empty, Type = NONE, LastModified = 2024-06-03 04:59:55
Cell[R1C5]: Value = empty, Type = NONE, LastModified = 2024-06-03 04:59:55
Cell[R1C6]: Value = empty, Type = NONE, LastModified = 2024-06-03 04:59:55
Cell[R2C1]: Value = empty, Type = NONE, LastModified = 2024-06-03 04:59:55
Cell[R2C2]: Value = =R1C1+R2C3, Type = FORMULA, LastModified = 2024-06-03 05:00:56
Cell[R2C3]: Value = kondiozator, Type = STRING, LastModified = 2024-06-03 05:00:46
Cell[R2C4]: Value = empty, Type = NONE, LastModified = 2024-06-03 04:59:55
Cell[R2C5]: Value = empty, Type = NONE, LastModified = 2024-06-03 04:59:55
Cell[R2C6]: Value = empty, Type = NONE, LastModified = 2024-06-03 04:59:55
Cell[R3C1]: Value = empty, Type = NONE, LastModified = 2024-06-03 04:59:55
Cell[R3C2]: Value = empty, Type = NONE, LastModified = 2024-06-03 04:59:55
Cell[R3C3]: Value = empty, Type = NONE, LastModified = 2024-06-03 04:59:55
Cell[R3C4]: Value = empty, Type = NONE, LastModified = 2024-06-03 04:59:55
Cell[R3C5]: Value = empty, Type = NONE, LastModified = 2024-06-03 04:59:55
Cell[R3C6]: Value = empty, Type = NONE, LastModified = 2024-06-03 04:59:55
Cell[R4C1]: Value = empty, Type = NONE, LastModified = 2024-06-03 04:59:55
Cell[R4C2]: Value = empty, Type = NONE, LastModified = 2024-06-03 04:59:55
Cell[R4C3]: Value = empty, Type = NONE, LastModified = 2024-06-03 04:59:55
Cell[R4C4]: Value = empty, Type = NONE, LastModified = 2024-06-03 04:59:55
Cell[R4C5]: Value = empty, Type = NONE, LastModified = 2024-06-03 04:59:55
Cell[R4C6]: Value = empty, Type = NONE, LastModified = 2024-06-03 04:59:55
Cell[R5C1]: Value = empty, Type = NONE, LastModified = 2024-06-03 04:59:55
Cell[R5C2]: Value = empty, Type = NONE, LastModified = 2024-06-03 04:59:55
Cell[R5C3]: Value = empty, Type = NONE, LastModified = 2024-06-03 04:59:55
Cell[R5C4]: Value = empty, Type = NONE, LastModified = 2024-06-03 04:59:55
Cell[R5C5]: Value = empty, Type = NONE, LastModified = 2024-06-03 04:59:55
Cell[R5C6]: Value = empty, Type = NONE, LastModified = 2024-06-03 04:59:55
Cell[R6C1]: Value = empty, Type = NONE, LastModified = 2024-06-03 04:59:55
Cell[R6C2]: Value = empty, Type = NONE, LastModified = 2024-06-03 04:59:55
Cell[R6C3]: Value = empty, Type = NONE, LastModified = 2024-06-03 04:59:55
Cell[R6C4]: Value = empty, Type = NONE, LastModified = 2024-06-03 04:59:55
Cell[R6C5]: Value = empty, Type = NONE, LastModified = 2024-06-03 04:59:55
Cell[R6C6]: Value = empty, Type = NONE, LastModified = 2024-06-03 04:59:55
Cell[R7C1]: Value = empty, Type = NONE, LastModified = 2024-06-03 04:59:55
Cell[R7C2]: Value = empty, Type = NONE, LastModified = 2024-06-03 04:59:55
Cell[R7C3]: Value = empty, Type = NONE, LastModified = 2024-06-03 04:59:55
Cell[R7C4]: Value = empty, Type = NONE, LastModified = 2024-06-03 04:59:55
Cell[R7C5]: Value = empty, Type = NONE, LastModified = 2024-06-03 04:59:55
Cell[R7C6]: Value = empty, Type = NONE, LastModified = 2024-06-03 04:59:55
Cell[R8C1]: Value = empty, Type = NONE, LastModified = 2024-06-03 04:59:55
Cell[R8C2]: Value = empty, Type = NONE, LastModified = 2024-06-03 04:59:55
Cell[R8C3]: Value = empty, Type = NONE, LastModified = 2024-06-03 04:59:55
Cell[R8C4]: Value = empty, Type = NONE, LastModified = 2024-06-03 04:59:55
Cell[R8C5]: Value = empty, Type = NONE, LastModified = 2024-06-03 04:59:55
Cell[R8C6]: Value = empty, Type = NONE, LastModified = 2024-06-03 04:59:55
Cell[R9C1]: Value = empty, Type = NONE, LastModified = 2024-06-03 04:59:55
Cell[R9C2]: Value = empty, Type = NONE, LastModified = 2024-06-03 04:59:55
Cell[R9C3]: Value = empty, Type = NONE, LastModified = 2024-06-03 04:59:55
Cell[R9C4]: Value = empty, Type = NONE, LastModified = 2024-06-03 04:59:55
Cell[R9C5]: Value = empty, Type = NONE, LastModified = 2024-06-03 04:59:55
Cell[R9C6]: Value = empty, Type = NONE, LastModified = 2024-06-03 04:59:55
Cell[R10C1]: Value = empty, Type = NONE, LastModified = 2024-06-03 04:59:55
Cell[R10C2]: Value = empty, Type = NONE, LastModified = 2024-06-03 04:59:55
Cell[R10C3]: Value = empty, Type = NONE, LastModified = 2024-06-03 04:59:55
Cell[R10C4]: Value = empty, Type = NONE, LastModified = 2024-06-03 04:59:55
Cell[R10C5]: Value = empty, Type = NONE, LastModified = 2024-06-03 04:59:55
Cell[R10C6]: Value = empty, Type = NONE, LastModified = 2024-06-03 04:59:55
